User ID,Video ID,Content Type,Video Length,Total Video views,Total Watchtime,Mid role ads,Charges of Midrole Ads per 1000 views,Revenue Generated by the video,User's Share,Our Share,,
USR59732,VIDID-12-2025-19841,Educational,0:35:00,8489863,4952420:05:00,4, ? 200.00 ," ? 6,791,890.40 "," ? 5,093,917.80 "," ? 1,697,972.60 ",,
USR24606,VIDID-12-2025-48215,Educational,0:35:00,7764032,4529018:40:00,4, ? 200.00 ," ? 6,211,225.60 "," ? 4,658,419.20 "," ? 1,552,806.40 ",,
USR50792,VIDID-12-2025-25217,Entertainment,0:15:00,2394492,598623:00:00,2, ? 350.00 ," ? 1,676,144.40 "," ? 1,257,108.30 "," ? 419,036.10 ",,
USR54322,VIDID-12-2025-69774,Educational,0:35:00,8099242,4724557:50:00,4, ? 200.00 ," ? 6,479,393.60 "," ? 4,859,545.20 "," ? 1,619,848.40 ",,
USR9122,VIDID-12-2025-63621,Technology,0:12:00,5922811,1184562:12:00,2, ? 500.00 ," ? 5,922,811.00 "," ? 4,442,108.25 "," ? 1,480,702.75 ",,
USR16507,VIDID-12-2025-87586,Entertainment,0:15:00,8696302,2174075:30:00,2, ? 350.00 ," ? 6,087,411.40 "," ? 4,565,558.55 "," ? 1,521,852.85 ",,
USR75970,VIDID-12-2025-88520,News,0:25:00,573972,239155:00:00,3, ? 400.00 ," ? 688,766.40 "," ? 516,574.80 "," ? 172,191.60 ",,
USR94794,VIDID-12-2025-9571,News,0:25:00,6480407,2700169:35:00,3, ? 400.00 ," ? 7,776,488.40 "," ? 5,832,366.30 "," ? 1,944,122.10 ",,
USR48180,VIDID-12-2025-10341,Life Style,0:22:00,7603226,2787849:32:00,3, ? 250.00 ," ? 5,702,419.50 "," ? 4,276,814.63 "," ? 1,425,604.88 ",,
USR82497,VIDID-12-2025-34008,Gaming,1:00:00,6143638,6143638:00:00,8, ? 100.00 ," ? 4,914,910.40 "," ? 3,686,182.80 "," ? 1,228,727.60 ",,
USR98148,VIDID-12-2025-84981,Political,0:20:00,4248609,1416203:00:00,3, ? 50.00 ," ? 637,291.35 "," ? 477,968.51 "," ? 159,322.84 ",,
USR21033,VIDID-12-2025-34482,Educational,0:35:00,6656308,3882846:20:00,4, ? 200.00 ," ? 5,325,046.40 "," ? 3,993,784.80 "," ? 1,331,261.60 ",,
USR62155,VIDID-12-2025-31434,Gaming,1:00:00,4563251,4563251:00:00,8, ? 100.00 ," ? 3,650,600.80 "," ? 2,737,950.60 "," ? 912,650.20 ",,
USR56609,VIDID-12-2025-54169,Gaming,1:00:00,8454746,8454746:00:00,8, ? 100.00 ," ? 6,763,796.80 "," ? 5,072,847.60 "," ? 1,690,949.20 ",,
USR89067,VIDID-12-2025-16103,Political,0:20:00,9411639,3137213:00:00,3, ? 50.00 ," ? 1,411,745.85 "," ? 1,058,809.39 "," ? 352,936.46 ",,
USR48166,VIDID-12-2025-88226,Technology,0:12:00,5725647,1145129:24:00,2, ? 500.00 ," ? 5,725,647.00 "," ? 4,294,235.25 "," ? 1,431,411.75 ",,
