User ID,Video ID,Upload Date,Content Type,Video Length,Total Views,Total Watchtime,Likes,Dislikes
USR59732,VIDID-12-2025-19841,18-12-2025,Educational,0:35:00,8489863,4952420:05:00,114040,395576
USR24606,VIDID-12-2025-48215,21-12-2025,Educational,0:35:00,7764032,4529018:40:00,699766,240602
USR50792,VIDID-12-2025-25217,11-12-2025,Entertainment,0:15:00,2394492,598623:00:00,292576,545741
USR54322,VIDID-12-2025-69774,23-12-2025,Educational,0:35:00,8099242,4724557:50:00,8636,829375
USR9122,VIDID-12-2025-63621,01-12-2025,Technology,0:12:00,5922811,1184562:12:00,880872,672505
USR16507,VIDID-12-2025-87586,03-12-2025,Entertainment,0:15:00,8696302,2174075:30:00,654850,266603
USR75970,VIDID-12-2025-88520,06-12-2025,News,0:25:00,573972,239155:00:00,923130,961345
USR94794,VIDID-12-2025-9571,05-12-2025,News,0:25:00,6480407,2700169:35:00,603921,108258
USR48180,VIDID-12-2025-10341,18-12-2025,Life Style,0:22:00,7603226,2787849:32:00,892688,543043
USR82497,VIDID-12-2025-34008,20-12-2025,Gaming,1:00:00,6143638,6143638:00:00,698528,526651
USR98148,VIDID-12-2025-84981,07-12-2025,Political,0:20:00,4248609,1416203:00:00,623221,424718
USR21033,VIDID-12-2025-34482,18-12-2025,Educational,0:35:00,6656308,3882846:20:00,710347,485127
USR62155,VIDID-12-2025-31434,18-12-2025,Gaming,1:00:00,4563251,4563251:00:00,357733,488252
USR56609,VIDID-12-2025-54169,25-12-2025,Gaming,1:00:00,8454746,8454746:00:00,989436,688917
USR89067,VIDID-12-2025-16103,06-12-2025,Political,0:20:00,9411639,3137213:00:00,583734,859921
USR48166,VIDID-12-2025-88226,02-12-2025,Technology,0:12:00,5725647,1145129:24:00,907874,384915
USR78504,VIDID-12-2025-31530,19-12-2025,Cooking,0:10:00,2973163,495527:10:00,806187,382410
USR93146,VIDID-12-2025-46685,14-12-2025,Cooking,0:10:00,1745381,290896:50:00,334339,78539
USR2140,VIDID-12-2025-76418,15-12-2025,Technology,0:12:00,3130981,626196:12:00,778024,729394
USR55493,VIDID-12-2025-54975,16-12-2025,Political,0:20:00,4771640,1590546:40:00,535520,108590
USR34401,VIDID-12-2025-68119,21-12-2025,ASMR,0:20:00,8649059,2883019:40:00,877438,227516
USR95339,VIDID-12-2025-6996,25-12-2025,Political,0:20:00,118893,39631:00:00,90517,472902
USR74549,VIDID-12-2025-45748,12-12-2025,Life Style,0:22:00,6854347,2513260:34:00,873356,353745
USR80823,VIDID-12-2025-40826,04-12-2025,Gaming,1:00:00,9933001,9933001:00:00,233377,693759
USR35600,VIDID-12-2025-12612,21-12-2025,ASMR,0:20:00,6853147,2284382:20:00,739549,36887
USR51155,VIDID-12-2025-69365,02-12-2025,Political,0:20:00,2292045,764015:00:00,271795,236283
USR67798,VIDID-12-2025-79759,09-12-2025,Entertainment,0:15:00,2056282,514070:30:00,507546,702541
USR65494,VIDID-12-2025-87109,30-12-2025,Entertainment,0:15:00,1155058,288764:30:00,706497,178376
USR36420,VIDID-12-2025-52277,22-12-2025,Life Style,0:22:00,7465891,2737493:22:00,651530,587781
USR14705,VIDID-12-2025-6177,08-12-2025,ASMR,0:20:00,5876631,1958877:00:00,780807,663291
USR53637,VIDID-12-2025-17574,25-12-2025,Political,0:20:00,1787262,595754:00:00,31158,137474
USR96103,VIDID-12-2025-83722,31-12-2025,Educational,0:35:00,4327417,2524326:35:00,276883,141257
USR40220,VIDID-12-2025-28031,09-12-2025,Political,0:20:00,2221091,740363:40:00,98522,316402
USR16281,VIDID-12-2025-12599,07-12-2025,Life Style,0:22:00,4345883,1593490:26:00,397344,862664
USR10670,VIDID-12-2025-65881,11-12-2025,Entertainment,0:15:00,257541,64385:15:00,107400,564215
USR70357,VIDID-12-2025-23639,10-12-2025,Life Style,0:22:00,1476170,541262:20:00,777051,620895
USR76048,VIDID-12-2025-1966,06-12-2025,Educational,0:35:00,1632705,952411:15:00,687916,601063
USR42778,VIDID-12-2025-85000,01-12-2025,Gaming,1:00:00,7771851,7771851:00:00,746926,283034
USR70536,VIDID-12-2025-81317,03-12-2025,Technology,0:12:00,2930066,586013:12:00,424804,68400
USR50926,VIDID-12-2025-5885,11-12-2025,Entertainment,0:15:00,2774783,693695:45:00,648834,31614
USR17408,VIDID-12-2025-63694,05-12-2025,Political,0:20:00,1010538,336846:00:00,683489,838124
USR26380,VIDID-12-2025-80757,16-12-2025,News,0:25:00,2758849,1149520:25:00,111364,467404
USR45874,VIDID-12-2025-64751,20-12-2025,Educational,0:35:00,8110951,4731388:05:00,526357,304051
USR62303,VIDID-12-2025-66077,25-12-2025,Entertainment,0:15:00,3483483,870870:45:00,808657,127768
USR96671,VIDID-12-2025-84337,11-12-2025,Entertainment,0:15:00,9059197,2264799:15:00,584492,747199
USR49539,VIDID-12-2025-51254,22-12-2025,News,0:25:00,5154738,2147807:30:00,82987,614078
USR2786,VIDID-12-2025-97034,05-12-2025,Educational,0:35:00,6947847,4052910:45:00,364142,661388
USR86988,VIDID-12-2025-60515,16-12-2025,ASMR,0:20:00,4952837,1650945:40:00,255722,94997
USR39761,VIDID-12-2025-46850,01-12-2025,Technology,0:12:00,4709451,941890:12:00,865597,588203
USR62752,VIDID-12-2025-41049,31-12-2025,Cooking,0:10:00,1637018,272836:20:00,746541,563495
USR14127,VIDID-12-2025-61544,17-12-2025,Gaming,1:00:00,6866636,6866636:00:00,382873,4765
USR78193,VIDID-12-2025-46110,08-12-2025,Cooking,0:10:00,225332,37555:20:00,690549,838099
USR84670,VIDID-12-2025-91279,02-12-2025,Gaming,1:00:00,2105257,2105257:00:00,2683,162133
USR71547,VIDID-12-2025-4195,11-12-2025,Technology,0:12:00,2656154,531230:48:00,418733,233369
USR70835,VIDID-12-2025-55566,14-12-2025,Political,0:20:00,1871876,623958:40:00,564073,626213
USR64754,VIDID-12-2025-82446,06-12-2025,Entertainment,0:15:00,8925867,2231466:45:00,747412,286355
USR76719,VIDID-12-2025-66357,12-12-2025,Technology,0:12:00,7458846,1491769:12:00,543065,92634
USR17479,VIDID-12-2025-73846,02-12-2025,Gaming,1:00:00,7672587,7672587:00:00,109739,187714
USR46448,VIDID-12-2025-98604,21-12-2025,Life Style,0:22:00,7679743,2815905:46:00,150944,667753
USR18757,VIDID-12-2025-45919,12-12-2025,Educational,0:35:00,2360617,1377026:35:00,673534,15990
USR60081,VIDID-12-2025-88086,01-12-2025,Entertainment,0:15:00,6565693,1641423:15:00,678497,284059
USR25567,VIDID-12-2025-58158,07-12-2025,ASMR,0:20:00,6641572,2213857:20:00,587871,11415
USR96651,VIDID-12-2025-98072,16-12-2025,News,0:25:00,2961586,1233994:10:00,693614,566109
USR6137,VIDID-12-2025-48988,07-12-2025,Gaming,1:00:00,6011426,6011426:00:00,912688,16689
USR31721,VIDID-12-2025-65345,04-12-2025,Educational,0:35:00,2150720,1254586:40:00,322175,977016
USR49816,VIDID-12-2025-20143,08-12-2025,Educational,0:35:00,4481699,2614324:25:00,242067,511728
USR98373,VIDID-12-2025-82116,24-12-2025,Entertainment,0:15:00,1576757,394189:15:00,552635,473011
